,state-code,state-name,district-code,district-name,teh-code,teh-name,vill-code,ward-no,area-name,census_id
14251,06,HARYANA,073,Kaithal,00368,Kaithal,058909,0000,Balu(20),0607300368058909
18928,06,HARYANA,089,Palwal ,00427,Palwal,063629,0000,Teharki(12),0608900427063629
18306,06,HARYANA,086,Gurgaon,00420,Sohna,062985,0000,Alipur(180),0608600420062985
10909,03,PUNJAB,051,Rupnagar,00264,Rup Nagar,038629,0000,Bikkon (338),0305100264038629
604,03,PUNJAB,035,Gurdaspur,00202,Gurdaspur ,028049,0000,Laluwal (409),0303500202028049
9948,03,PUNJAB,049,Amritsar ,00257,Amritsar- II ,037641,0000,Lahorimal (405),0304900257037641
9070,03,PUNJAB,048,Patiala,00253,Patiala,036716,0000,Maqboolpur Bhaini (247),0304800253036716
14461,06,HARYANA,074,Karnal,00371,Indri,059114,0000,Garhi Birbal (32),0607400371059114
5842,03,PUNJAB,041,Ludhiana,00227,Ludhiana (East),033446,0000,Dhanansu (186),0304100227033446
16242,06,HARYANA,080,Hisar,00394,Hisar,060908,0000,Hindwan (56),0608000394060908
8783,03,PUNJAB,048,Patiala,00252,Nabha,036424,0000,Halla (82),0304800252036424
932,03,PUNJAB,035,Gurdaspur,00202,Gurdaspur ,028386,0000,Bhurian Sainian (586),0303500202028386
5446,03,PUNJAB,041,Ludhiana,00224,Samrala,033041,0000,Chak Samun (20),0304100224033041
1164,03,PUNJAB,035,Gurdaspur,00203,Batala ,028627,0000,Mansurke (175),0303500203028627
1344,03,PUNJAB,035,Gurdaspur,00203,Batala ,028808,0000,Kotli Dhadian (314),0303500203028808
18220,06,HARYANA,086,Gurgaon,00419,Manesar,062897,0000,Bhudka(142),0608600419062897
15133,06,HARYANA,076,Sonipat,00380,Sonipat,059811,0000,Asadpur(22),0607600380059811
9226,03,PUNJAB,048,Patiala,00254,Rajpura,036886,0000,Rurki (346),0304800254036886
5541,03,PUNJAB,041,Ludhiana,00224,Samrala,033137,0000,Sangatpura (116),0304100224033137
16160,06,HARYANA,079,Sirsa,00392,Ellenabad,060830,0000,Mehna Khera(104),0607900392060830
17882,06,HARYANA,085,Rewari,00414,Rewari,062545,0000,Tatarpur Istamrar (277),0608500414062545
18138,06,HARYANA,086,Gurgaon,00417,Gurgaon,062815,0000,Ghasula(88)  Part,0608600417062815
13234,06,HARYANA,071,Yamunanagar,00361,Jagadhri,057874,0000,Ishopur (471),0607100361057874
628,03,PUNJAB,035,Gurdaspur,00202,Gurdaspur ,028073,0000,Doburji (444),0303500202028073
11129,03,PUNJAB,051,Rupnagar,00265,Chamkaur Sahib,038864,0000,Sandhuan (308),0305100265038864
10766,03,PUNJAB,051,Rupnagar,00262,Anandpur Sahib,038485,0000,Bhaton (424),0305100262038485
14648,06,HARYANA,074,Karnal,00372,Karnal,059309,0000,Phusgarh (Part) (2),0607400372059309
12432,06,HARYANA,069,Panchkula,00356,Kalka,057038,0000,Dera Guru (184),0606900356057038
13015,06,HARYANA,070,Ambala,00360,Barara,057647,0000,Jalubi (248),0607000360057647
17543,06,HARYANA,084,Mahendragarh,00412,Narnaul,062199,0000,Baproli(123),0608400412062199
11840,03,PUNJAB,053,Sangrur,00270,Dhuri,039597,0000,Kalabula (40),0305300270039597
12549,06,HARYANA,069,Panchkula,00357,Panchkula,057165,0000,Toda (25),0606900357057165
16485,06,HARYANA,081,Bhiwani,00398,Bhiwani,061149,0000,Ghuskani (7),0608100398061149
11492,03,PUNJAB,052,Sahibzada Ajit Singh Nagar,00268,Dera Bassi,039234,0000,Azizpur (283),0305200268039234
14395,06,HARYANA,074,Karnal,00370,Nilokheri,059049,0000,Manak Majra (33),0607400370059049
8966,03,PUNJAB,048,Patiala,00253,Patiala,036610,0000,Khansan (140),0304800253036610
9551,03,PUNJAB,049,Amritsar ,00255,Ajnala,037238,0000,Motla (137) ,0304900255037238
14692,06,HARYANA,074,Karnal,00373,Assandh,059352,0000,Mundh (67),0607400373059352
13055,06,HARYANA,071,Yamunanagar,00361,Jagadhri,057686,0000,Nagla Jagir (364),0607100361057686
470,03,PUNJAB,035,Gurdaspur,00202,Gurdaspur ,027901,0000,Chuhar Chak (310),0303500202027901
1503,03,PUNJAB,035,Gurdaspur,00204,Dera Baba Nanak  ,028970,0000,Khasanwala (444),0303500204028970
17652,06,HARYANA,084,Mahendragarh,00412,Narnaul,062309,0000,Nangal Dargu(260),0608400412062309
9971,03,PUNJAB,049,Amritsar ,00257,Amritsar- II ,037664,0000,Jathaul (422),0304900257037664
8200,03,PUNJAB,046,Bathinda,00246,Talwandi Sabo,035851,0000,Kanakwal Urf Rattangarh (123),0304600246035851
16093,06,HARYANA,079,Sirsa,00391,Rania,060765,0000,Dhanoor(143),0607900391060765
18989,06,HARYANA,089,Palwal ,00427,Palwal,063692,0000,Chhaju Nagar(153),0608900427063692
13615,06,HARYANA,071,Yamunanagar,00363,Chhachhrauli,058268,0000,Raiyanwala (4),0607100363058268
13307,06,HARYANA,071,Yamunanagar,00361,Jagadhri,057948,0000,Modhuwala (385),0607100361057948
1515,03,PUNJAB,035,Gurdaspur,00204,Dera Baba Nanak  ,028983,0000,Dharamabad (488),0303500204028983
8079,03,PUNJAB,046,Bathinda,00245,Bathinda,035729,0000,Lehra Dhul Kot (194),0304600245035729
14160,06,HARYANA,073,Kaithal,00368,Kaithal,058818,0000,Farsh Majra (25),0607300368058818
